코스피,코스닥
A002240,A067390
A004100,A080580
A002820,A208350
A004840,A160550
A002350,A124500
A004060,A142280
A004000,A187220
A000020,A208370
A000210,A208140
A001120,A149980
A002720,A084650
A003240,A200710
A005030,A200780
A006390,A207760
A000590,A196170
A005390,A206400
A000990,A140520
A006570,A173940
A000220,A205470
A000860,A200230
A003540,A204840
A005940,A204620
A006800,A196490
A002700,A205500
A001360,A205100
A000810,A191420
A003230,A192440
A000370,A143540
A008260,A203650
A000230,A041920
A000490,A041920
A001800,A194480
A004540,A203690
A001420,A192410
A002020,A198440
A005930,A187270
A000300,A177830
A001460,A090410
A003620,A004650
A003410,A192390
A005610,A059120
A000540,A200130
A010050,A105550
A007570,A196450
A002320,A071850
A002200,A187790
A005380,A192250
A005360,A138080
A009830,A053300
A002030,A154040
A006380,A090850
A004990,A184230
A001070,A049080
A004410,A150840
A003560,A085810
A000680,A170030
A001210,A067570
A000140,A134580
A000320,A182360
A000270,A171120
A004800,A171010
A001040,A161570
A000150,A138360
A005010,A076610
A005830,A168330
A002900,A131970
A003090,A150900
A003780,A170920
A003520,A119850
A002380,A092040
A005300,A130500
A003200,A170790
A002790,A151860
A006220,A089600
A004150,A950130
A007210,A141080
A000400,A097800
A001130,A104540
A001680,A159580
A003550,A114810
A000640,A153490
A003690,A099190
A000970,A141020
A003300,A159910
A004250,A950110
A003030,A046970
A001440,A113810
A001790,A155650
A000070,A149950
A002420,A121850
A000240,A151910
A000950,A153460
A003490,A106520
A001530,A137400
A000100,A141000
A000120,A072950
A000050,A143240
A000700,A147830
A003480,A091590
,A140410
,A104830
,A127120
,A130580
,A131090
,A100660
,A115480
,A115480
,A139670
,A121800
,A138070
,A123570
,A122870
,A136510
,A089530
,A089030
,A101240
,A007820
,A115530
,A090360
,A131220
,A131220
,A143160
,A137950
,A040910
,A123330
,A139050
,A089980
,A138610
,A109080
,A108380
,A019770
,A137940
,A131100
,A138690
,A122450
,A121440
,A136540
,A136480
,A134060
,A104480
,A008470
,A121600
,A093320
,A130740
,A061970
,A131180
,A126880
,A033560
,A048530
,A119860
,A131370
,A064290
,A131290
,A131400
,A120240
,A128660
,A131030
,A096690
,A033830
,A033170
,A041460
,A126600
,A105740
,A123420
,A111870
,A123860
,A058400
,A069140
,A119830
,A101930
,A078650
,A068940
,A123840
,A117670
,A119500
,A068240
,A096530
,A122990
,A126700
,A126640
,A123410
,A123040
,A067920
,A119610
,A106190
,A114120
,A121890
,A123750
,A089850
,A046120
,A070300
,A079970
,A071200
,A122690
,A100030
,A900110
,A900100
,A115500
,A900120
,A115450
,A122350
,A115610
,A115310
,A106080
,A101330
,A115570
,A115440
,A050860
,A114630
,A080530
,A900070
,A099520
,A114450
,A104460
,A096640
,A112040
,A108860
,A088290
,A114190
,A115160
,A109960
,A099410
,A101000
,A109820
,A082920
,A042520
,A104200
,A052860
,A105330
,A109740
,A095700
,A108230
,A100130
,A103230
,A063080
,A109860
,A102120
,A101730
,A102710
,A099440
,A099220
,A101680
,A010240
,A101170
,A081150
,A098660
,A071670
,A101490
,A100120
,A102940
,A101400
,A106240
,A086890
,A104040
,A078070
,A086900
,A058630
,A059100
,A067630
,A092130
,A100700
,A098120
,A083470
,A101390
,A076080
,A101670
,A094840
,A063170
,A047560
,A096240
,A101160
,A099320
,A064480
,A098460
,A067000
,A018620
,A095610
,A053280
,A096870
,A059210
,A097870
,A091440
,A096040
,A097780
,A096630
,A068330
,A093920
,A067010
,A096350
,A069920
,A096610
,A092070
,A094820
,A086670
,A095190
,A092300
,A093640
,A095910
,A081580
,A073110
,A094970
,A080520
,A095340
,A085910
,A095500
,A027580
,A086040
,A057540
,A094940
,A095270
,A093190
,A091340
,A072770
,A094480
,A086520
,A065150
,A078340
,A095660
,A092600
,A069410
,A093380
,A086450
,A064820
,A091580
,A092460
,A073540
,A091120
,A094850
,A094860
,A078020
,A093520
,A048260
,A091970
,A092730
,A039200
,A089010
,A090470
,A088130
,A084110
,A089150
,A091700
,A086390
,A090710
,A060540
,A066310
,A067280
,A089890
,A080470
,A089140
,A089790
,A090150
,A088390
,A089230
,A043150
,A086960
,A038060
,A083660
,A062860
,A063570
,A086980
,A068050
,A085370
,A039290
,A078860
,A088910
,A054950
,A084730
,A086060
,A022220
,A088800
,A068760
,A083450
,A019990
,A079370
,A085670
,A084370
,A083790
,A064550
,A084990
,A083640
,A085660
,A078140
,A067900
,A083550
,A083550
,A084180
,A080420
,A083650
,A079190
,A082800
,A043910
,A079000
,A041020
,A078590
,A038070
,A079940
,A077360
,A083930
,A067310
,A083310
,A082660
,A080010
,A058220
,A078160
,A082850
,A080160
,A078890
,A050890
,A082210
,A082270
,A075130
,A073490
,A079950
,A079960
,A080220
,A079170
,A079810
,A080000
,A052220
,A079650
,A052900
,A066910
,A049950
,A052460
,A072870
,A073010
,A046440
,A078600
,A054450
,A078150
,A067990
,A051360
,A072520
,A078130
,A068790
,A078940
,A048870
,A065350
,A039340
,A064260
,A011080
,A050090
,A029960
,A057030
,A065770
,A074430
,A066700
,A066900
,A078350
,A075970
,A069540
,A073190
,A054090
,A041910
,A067770
,A070590
,A073570
,A073640
,A065680
,A057880
,A060570
,A066410
,A067160
,A074600
,A071280
,A069510
,A067170
,A054780
,A041440
,A072020
,A065510
,A072470
,A068930
,A069110
,A069330
,A064760
,A052710
,A065950
,A047310
,A041520
,A065560
,A064240
,A066790
,A069080
,A067080
,A067080
,A066590
,A067290
,A066130
,A046140
,A065450
,A065130
,A065440
,A049630
,A021650
,A051370
,A065650
,A065570
,A066980
,A016100
,A042040
,A066970
,A066670
,A066430
,A047820
,A064090
,A049960
,A053290
,A064520
,A035600
,A065170
,A034230
,A041590
,A042600
,A065500
,A060900
,A066620
,A052770
,A065420
,A064800
,A039980
,A048410
,A058610
,A045340
,A065710
,A065690
,A043710
,A060560
,A036010
,A060280
,A060230
,A046940
,A057680
,A060150
,A065530
,A063440
,A051160
,A065060
,A049180
,A060720
,A061040
,A050760
,A054210
,A050120
,A054410
,A060310
,A061250
,A053980
,A054050
,A039420
,A039440
,A049550
,A054670
,A060590
,A049070
,A060370
,A051380
,A053270
,A034950
,A060260
,A060260
,A060380
,A046310
,A058530
,A049720
,A052670
,A046890
,A013990
,A058450
,A059090
,A054930
,A035200
,A054040
,A048470
,A042500
,A040350
,A054300
,A047080
,A060250
,A056730
,A053260
,A060240
,A041930
,A054220
,A014940
,A043590
,A058470
,A045300
,A056190
,A056700
,A054940
,A043370
,A054620
,A056360
,A043260
,A038340
,A051390
,A054540
,A053350
,A054630
,A056080
,A044490
,A053950
,A053700
,A054920
,A041960
,A053160
,A052400
,A054180
,A049470
,A043090
,A053050
,A054800
,A047770
,A053800
,A040300
,A058820
,A035900
,A053590
,A021320
,A053060
,A053610
,A052790
,A053450
,A053030
,A052420
,A053620
,A049520
,A052300
,A048910
,A051980
,A051500
,A049120
,A043360
,A052330
,A052600
,A052020
,A043220
,A033790
,A051780
,A051490
,A038870
,A045660
,A045390
,A050110
,A052260
,A036540
,A038500
,A038500
,A024850
,A048550
,A049830
,A044060
,A048770
,A049430
,A044480
,A046390
,A014620
,A048430
,A017480
,A049480
,A036670
,A042510
,A039830
,A036190
,A046070
,A041830
,A014570
,A045520
,A022100
,A044180
,A044960
,A032080
,A010470
,A044340
,A042940
,A048830
,A000250
,A044780
,A045510
,A045100
,A040160
,A043340
,A043650
,A043650
,A037950
,A039030
,A038540
,A018680
,A039860
,A046210
,A045060
,A043100
,A042370
,A045970
,A040420
,A007370
,A043610
,A036890
,A039010
,A009300
,A009300
,A043200
,A042110
,A039740
,A039840
,A042420
,A039560
,A038460
,A032820
,A001540
,A039310
,A041190
,A038530
,A036640
,A031330
,A030190
,A038620
,A039020
,A038950
,A036800
,A040610
,A038880
,A038680
,A041510
,A010280
,A037760
,A036480
,A038110
,A032500
,A039610
,A039240
,A038290
,A037440
,A038390
,A036830
,A036810
,A036690
,A037370
,A036620
,A037350
,A038010
,A001810
,A036630
,A036710
,A037070
,A016250
,A036560
,A035890
,A036930
,A036030
,A032190
,A005290
,A003100
,A026040
,A036180
,A036170
,A037230
,A037460
,A037400
,A033640
,A037330
,A036090
,A036200
,A024800
,A027050
,A036120
,A035290
,A027040
,A027830
,A036000
,A035760
,A035810
,A035460
,A035620
,A035610
,A020710
,A012790
,A034940
,A033230
,A035080
,A005160
,A005990
,A034810
,A025770
,A033540
,A033500
,A030350
,A033160
,A033310
,A033320
,A009520
,A013810
,A033340
,A033200
,A033290
,A015710
,A033100
,A033050
,A033130
,A032980
,A019210
,A026150
,A031310
,A032960
,A032680
,A032940
,A008290
,A032750
,A032850
,A032860
,A032790
,A032800
,A032620
,A032580
,A032540
,A028080
,A032280
,A012340
,A031510
,A031860
,A031980
,A011560
,A024740
,A030960
,A030530
,A030520
,A021880
,A029480
,A021040
,A028300
,A027710
,A023600
,A018310
,A003800
,A014190
,A012700
,A018000
,A025980
,A026910
,A017250
,A015750
,A020180
,A006730
,A025950
,A025900
,A025870
,A025880
,A002680
,A025550
,A025440
,A025320
,A024940
,A024950
,A014100
,A024840
